,STATE,YEAR,PRES_DEM_VOTES,PRES_REP_VOTES,PRES_DEM_RATIO,PRES_REP_RATIO
0,ALABAMA,2000,695602.0,944409.0,0.4241447161025139,0.5758552838974861
1,ALABAMA,2004,693933.0,1176394.0,0.3710222864771775,0.6289777135228225
2,ALABAMA,2008,813479.0,1266546.0,0.39109097246427327,0.6089090275357267
3,ALABAMA,2012,795696.0,1255925.0,0.38783771466562295,0.6121622853343771
4,ALABAMA,2016,729547.0,1318250.0,0.35625943391849874,0.6437405660815012
5,ALABAMA,2020,849624.0,1441170.0,0.3708862516664528,0.6291137483335473
6,ARIZONA,2000,685341.0,781652.0,0.46717400832860145,0.5328259916713985
7,ARIZONA,2004,893524.0,1104294.0,0.4472499496951174,0.5527500503048827
8,ARIZONA,2008,1034707.0,1230111.0,0.4568609928038368,0.5431390071961633
9,ARIZONA,2012,1025232.0,1233654.0,0.4538661977629681,0.5461338022370319
10,ARIZONA,2016,1161167.0,1252401.0,0.4810997659896054,0.5189002340103945
11,ARIZONA,2020,5016429.0,4985058.0,0.5015683167912931,0.49843168320870684
12,ARKANSAS,2000,422768.0,472940.0,0.47199310489579194,0.5280068951042081
13,ARKANSAS,2004,468631.0,572770.0,0.4500005281346955,0.5499994718653045
14,ARKANSAS,2008,422310.0,638017.0,0.3982827938928274,0.6017172061071726
15,ARKANSAS,2012,394409.0,647744.0,0.3784559464877038,0.6215440535122961
16,ARKANSAS,2016,380494.0,684872.0,0.35714862310229534,0.6428513768977047
17,ARKANSAS,2020,1695728.0,3042588.0,0.3578756672201685,0.6421243327798315
18,CALIFORNIA,2000,5861203.0,4567429.0,0.5620298999907178,0.43797010000928216
19,CALIFORNIA,2004,6737355.0,5501496.0,0.5504891758221421,0.44951082417785787
20,CALIFORNIA,2008,8274473.0,5011781.0,0.622784495915854,0.3772155040841459
21,CALIFORNIA,2012,7854285.0,4839958.0,0.6187281116329663,0.3812718883670338
22,CALIFORNIA,2016,8753788.0,4483810.0,0.6612822054272989,0.3387177945727012
23,CALIFORNIA,2020,11110250.0,6006429.0,0.6490891136066756,0.3509108863933243
24,COLORADO,2000,738227.0,883745.0,0.4551416423957997,0.5448583576042003
25,COLORADO,2004,1001732.0,1101255.0,0.47633770441757367,0.5236622955824264
26,COLORADO,2008,1288576.0,1073589.0,0.5455063469317343,0.4544936530682658
27,COLORADO,2012,1322998.0,1185050.0,0.5275010685600914,0.4724989314399086
28,COLORADO,2016,1338870.0,1202484.0,0.5268333337268244,0.47316666627317566
29,COLORADO,2020,1804352.0,1364607.0,0.5693831949230015,0.43061680507699845
30,CONNECTICUT,2000,816015.0,561094.0,0.5925565804885452,0.4074434195114548
31,CONNECTICUT,2004,857488.0,693826.0,0.5527494756058412,0.44725052439415874
32,CONNECTICUT,2008,1000291.0,628041.0,0.6143040854076441,0.38569591459235586
33,CONNECTICUT,2012,891674.0,624210.0,0.5882204706956469,0.41177952930435313
34,CONNECTICUT,2016,897572.0,673215.0,0.5714154751726364,0.4285845248273636
35,CONNECTICUT,2020,1080831.0,714717.0,0.6019504908807785,0.39804950911922155
36,DELAWARE,2000,180068.0,137288.0,0.5674006478528845,0.43259935214711553
37,DELAWARE,2004,200141.0,171651.0,0.5383144338770065,0.4616855661229935
38,DELAWARE,2008,255459.0,152374.0,0.6263813864988855,0.3736186135011144
39,DELAWARE,2012,242584.0,165484.0,0.5944695491927816,0.4055304508072184
40,DELAWARE,2016,235603.0,185127.0,0.5599862144368122,0.4400137855631878
41,DELAWARE,2020,296268.0,200603.0,0.5962674416498447,0.40373255835015526
42,DISTRICT OF COLUMBIA,2000,171923.0,18073.0,0.9048769447777848,0.0951230552222152
43,DISTRICT OF COLUMBIA,2004,202970.0,21256.0,0.9052027864743607,0.09479721352563932
44,DISTRICT OF COLUMBIA,2008,245800.0,17367.0,0.9340076833341566,0.06599231666584336
45,DISTRICT OF COLUMBIA,2012,267070.0,21381.0,0.9258764920211752,0.07412350797882483
46,DISTRICT OF COLUMBIA,2016,282830.0,12723.0,0.9569518834185409,0.04304811658145916
47,DISTRICT OF COLUMBIA,2020,317323.0,18586.0,0.9446695384761944,0.05533046152380555
48,FLORIDA,2000,2911417.0,2911215.0,0.5000173461073961,0.4999826538926039
49,FLORIDA,2004,3583544.0,3964522.0,0.47476320424331214,0.5252367957566879
50,FLORIDA,2008,4282366.0,4046212.0,0.5141773301516778,0.48582266984832223
51,FLORIDA,2012,4237756.0,4163447.0,0.5044225213936623,0.49557747860633766
52,FLORIDA,2016,4504975.0,4617886.0,0.4938116452722452,0.5061883547277548
53,FLORIDA,2020,5297045.0,5668731.0,0.48305245337858443,0.5169475466214156
54,GEORGIA,2000,1116230.0,1419720.0,0.4401624637709734,0.5598375362290265
55,GEORGIA,2004,1366149.0,1914254.0,0.4164576730359044,0.5835423269640956
56,GEORGIA,2008,1844137.0,2048744.0,0.4737203628880513,0.5262796371119487
57,GEORGIA,2012,1773827.0,2078688.0,0.46043350901943275,0.5395664909805672
58,GEORGIA,2016,1877963.0,2089104.0,0.47338827400696787,0.5266117259930322
59,GEORGIA,2020,9898028.0,9847348.0,0.5012833384383261,0.498716661561674
60,HAWAII,2000,205242.0,137819.0,0.5982667805434019,0.4017332194565981
61,HAWAII,2004,231335.0,194116.0,0.5437406422831301,0.4562593577168699
62,HAWAII,2008,325201.0,120429.0,0.7297556268653367,0.27024437313466326
63,HAWAII,2012,306266.0,120937.0,0.7169097595288423,0.2830902404711577
64,HAWAII,2016,266891.0,128847.0,0.6744133745053545,0.32558662549464545
65,HAWAII,2020,366127.0,196855.0,0.6503351794551158,0.3496648205448842
66,IDAHO,2000,138637.0,336937.0,0.29151509544255994,0.7084849045574401
67,IDAHO,2004,181098.0,409235.0,0.306772618166357,0.6932273818336431
68,IDAHO,2008,236440.0,403012.0,0.3697541019497945,0.6302458980502055
69,IDAHO,2012,212787.0,420911.0,0.3357861315642467,0.6642138684357534
70,IDAHO,2016,189765.0,409055.0,0.31689823319194416,0.6831017668080558
71,IDAHO,2020,287021.0,554119.0,0.3412285707492213,0.6587714292507787
72,ILLINOIS,2000,2589026.0,2019421.0,0.5618001031583959,0.4381998968416041
73,ILLINOIS,2004,2891989.0,2346608.0,0.5520541091441086,0.44794589085589137
74,ILLINOIS,2008,3419673.0,2031527.0,0.6273248092163194,0.37267519078368067
75,ILLINOIS,2012,3019512.0,2135102.0,0.585788188989515,0.414211811010485
76,ILLINOIS,2016,3090729.0,2146015.0,0.5902005139071148,0.4097994860928852
77,ILLINOIS,2020,3471915.0,2446891.0,0.5865904373280693,0.4134095626719308
78,INDIANA,2000,901980.0,1245836.0,0.41995217467418067,0.5800478253258193
79,INDIANA,2004,969011.0,1479438.0,0.3957652375034154,0.6042347624965846
80,INDIANA,2008,1374039.0,1345648.0,0.5052195344537809,0.49478046554621913
81,INDIANA,2012,1152887.0,1420543.0,0.447996254026727,0.5520037459732731
82,INDIANA,2016,1033126.0,1557286.0,0.3988269047549193,0.6011730952450807
83,INDIANA,2020,1242416.0,1729519.0,0.4180495199255704,0.5819504800744296
84,IOWA,2000,638517.0,634373.0,0.5016277918751817,0.4983722081248183
85,IOWA,2004,741898.0,751957.0,0.49663320737287087,0.5033667926271291
86,IOWA,2008,828940.0,682379.0,0.5484877778946735,0.45151222210532654
87,IOWA,2012,822544.0,730617.0,0.5295935192810017,0.4704064807189982
88,IOWA,2016,653669.0,800983.0,0.4493645215487965,0.5506354784512034
89,IOWA,2020,1518122.0,1804018.0,0.45697110898396814,0.5430288910160318
90,KANSAS,2000,399276.0,622332.0,0.39083092536471914,0.6091690746352808
91,KANSAS,2004,434993.0,736456.0,0.3713290121891777,0.6286709878108223
92,KANSAS,2008,514765.0,699655.0,0.42387724181090564,0.5761227581890944
93,KANSAS,2012,439908.0,689809.0,0.3893966365027702,0.6106033634972299
94,KANSAS,2016,427005.0,671018.0,0.38888529657393334,0.6111147034260667
95,KANSAS,2020,570323.0,771406.0,0.4250657174436865,0.5749342825563135
96,KENTUCKY,2000,638898.0,872492.0,0.4227221299598383,0.5772778700401617
97,KENTUCKY,2004,712733.0,1069439.0,0.39992380084526075,0.6000761991547393
98,KENTUCKY,2008,751985.0,1048462.0,0.4176657241229539,0.5823342758770461
99,KENTUCKY,2012,679370.0,1087190.0,0.38457227606195094,0.6154277239380491
100,KENTUCKY,2016,628854.0,1202971.0,0.34329370982490137,0.6567062901750986
101,KENTUCKY,2020,772285.0,1326418.0,0.3679820346185239,0.632017965381476
102,LOUISIANA,2000,792344.0,927871.0,0.4606075403365277,0.5393924596634723
103,LOUISIANA,2004,820299.0,1102169.0,0.4266905873075651,0.573309412692435
104,LOUISIANA,2008,781574.0,1148015.0,0.4050468778584455,0.5949531221415545
105,LOUISIANA,2012,809141.0,1152262.0,0.4125317438588602,0.5874682561411397
106,LOUISIANA,2016,780154.0,1178638.0,0.3982832276219221,0.601716772378078
107,LOUISIANA,2020,856034.0,1255776.0,0.4053555954370895,0.5946444045629105
108,MAINE,2000,319951.0,286616.0,0.5274784154100042,0.4725215845899958
109,MAINE,2004,364153.0,308997.0,0.5409685805541112,0.4590314194458887
110,MAINE,2008,421923.0,295273.0,0.588295249834076,0.41170475016592395
111,MAINE,2012,399235.0,291418.0,0.5780543920029305,0.4219456079970694
112,MAINE,2016,354718.0,334945.0,0.514335262294773,0.48566473770522706
113,MAINE,2020,430473.0,359899.0,0.5446460653970535,0.4553539346029465
114,MARYLAND,2000,1145782.0,813797.0,0.5847082460059023,0.41529175399409773
115,MARYLAND,2004,1334493.0,1024703.0,0.565655842075012,0.434344157924988
116,MARYLAND,2008,1629467.0,959862.0,0.6293008729288553,0.37069912707114466
117,MARYLAND,2012,1677844.0,971869.0,0.6332172578690598,0.3667827421309402
118,MARYLAND,2016,1677928.0,943169.0,0.6401624968476939,0.35983750315230606
119,MARYLAND,2020,9925115.0,4882070.0,0.6702904704709234,0.3297095295290766
120,MASSACHUSETTS,2000,1616487.0,878502.0,0.6478934376063381,0.35210656239366184
121,MASSACHUSETTS,2004,1803800.0,1071109.0,0.6274285551299189,0.3725714448700811
122,MASSACHUSETTS,2008,1904103.0,1108885.0,0.6319650128045647,0.3680349871954352
123,MASSACHUSETTS,2012,1921290.0,1188314.0,0.6178568074906001,0.38214319250939993
124,MASSACHUSETTS,2016,1995196.0,1090893.0,0.646512786896295,0.35348721310370507
125,MASSACHUSETTS,2020,2382202.0,1167202.0,0.6711554954014815,0.3288445045985185
126,MICHIGAN,2000,2170418.0,1953139.0,0.5263460648173409,0.473653935182659
127,MICHIGAN,2004,2479183.0,2313746.0,0.5172584446796521,0.48274155532034796
128,MICHIGAN,2008,2872579.0,2048639.0,0.5837130157615452,0.4162869842384548
129,MICHIGAN,2012,2564569.0,2115256.0,0.5480053207117788,0.45199467928822123
130,MICHIGAN,2016,2268839.0,2279543.0,0.4988233178303845,0.5011766821696155
131,MICHIGAN,2020,2804040.0,2649852.0,0.5141355934440947,0.4858644065559054
132,MINNESOTA,2000,1168266.0,1109659.0,0.5128641197581132,0.4871358802418868
133,MINNESOTA,2004,1444751.0,1346451.0,0.5176089011114208,0.4823910988885792
134,MINNESOTA,2008,1573354.0,1275409.0,0.5522937499539273,0.4477062500460726
135,MINNESOTA,2012,1546167.0,1320225.0,0.5394122646169819,0.4605877353830181
136,MINNESOTA,2016,1367716.0,1322951.0,0.5083185693361535,0.49168143066384656
137,MINNESOTA,2020,1717077.0,1484065.0,0.5363951364856667,0.46360486351433333
138,MISSISSIPPI,2000,404964.0,573230.0,0.41399149861888335,0.5860085013811166
139,MISSISSIPPI,2004,440034.0,666295.0,0.3977424437034553,0.6022575562965446
140,MISSISSIPPI,2008,554662.0,724497.0,0.43361458583334833,0.5663854141666517
141,MISSISSIPPI,2012,562949.0,710746.0,0.4419810080121222,0.5580189919878777
142,MISSISSIPPI,2016,485131.0,700714.0,0.4091015267593994,0.5908984732406006
143,MISSISSIPPI,2020,539398.0,756764.0,0.4161501417261114,0.5838498582738886
144,MISSOURI,2000,1111138.0,1189924.0,0.48288051343249333,0.5171194865675066
145,MISSOURI,2004,1154546.0,1419652.0,0.44850706899780046,0.5514929310021995
146,MISSOURI,2008,1321809.0,1413960.0,0.48315811751650084,0.5168418824834992
147,MISSOURI,2012,1118126.0,1452931.0,0.43488961932777065,0.5651103806722294
148,MISSOURI,2016,973333.0,1569857.0,0.38272130670535826,0.6172786932946418
149,MISSOURI,2020,1145354.0,1692343.0,0.40362096446519835,0.5963790355348016
150,MONTANA,2000,137126.0,240178.0,0.3634363802133028,0.6365636197866972
151,MONTANA,2004,173710.0,266063.0,0.39499923824336647,0.6050007617566335
152,MONTANA,2008,232156.0,243860.0,0.487706295586703,0.512293704413297
153,MONTANA,2012,201839.0,267928.0,0.42965768136118543,0.5703423186388146
154,MONTANA,2016,177709.0,279240.0,0.38890335682975563,0.6110966431702444
155,MONTANA,2020,244786.0,343602.0,0.41602819907951893,0.5839718009204811
156,NEBRASKA,2000,231780.0,433862.0,0.34820519137914974,0.6517948086208503
157,NEBRASKA,2004,254328.0,512814.0,0.331526627404053,0.6684733725959471
158,NEBRASKA,2008,333319.0,452979.0,0.4239092557783436,0.5760907442216564
159,NEBRASKA,2012,302081.0,475064.0,0.38870609731774636,0.6112939026822536
160,NEBRASKA,2016,284494.0,495961.0,0.3645232588682243,0.6354767411317757
161,NEBRASKA,2020,374583.0,556846.0,0.40215947753398273,0.5978405224660173
162,NEVADA,2000,279978.0,301575.0,0.4814316150032757,0.5185683849967243
163,NEVADA,2004,397190.0,418690.0,0.486824042751385,0.513175957248615
164,NEVADA,2008,533736.0,412827.0,0.563867381251961,0.43613261874803894
165,NEVADA,2012,531373.0,463567.0,0.5340754216334653,0.46592457836653467
166,NEVADA,2016,539260.0,512058.0,0.512937094199852,0.487062905800148
167,NEVADA,2020,703314.0,669608.0,0.5122752785664444,0.4877247214335556
168,NEW HAMPSHIRE,2000,266348.0,273559.0,0.49332199804781196,0.506678001952188
169,NEW HAMPSHIRE,2004,340511.0,331237.0,0.5069028862013731,0.49309711379862686
170,NEW HAMPSHIRE,2008,384826.0,316534.0,0.548685411201095,0.45131458879890496
171,NEW HAMPSHIRE,2012,369561.0,329918.0,0.528337519782581,0.47166248021741897
172,NEW HAMPSHIRE,2016,348526.0,345790.0,0.501970284423807,0.49802971557619297
173,NEW HAMPSHIRE,2020,424937.0,365660.0,0.5374887584951625,0.46251124150483747
174,NEW JERSEY,2000,1788850.0,1284173.0,0.5821140941672093,0.4178859058327907
175,NEW JERSEY,2004,1911430.0,1668003.0,0.5340035698391338,0.4659964301608663
176,NEW JERSEY,2008,2215422.0,1613207.0,0.5786462987142394,0.4213537012857605
177,NEW JERSEY,2012,2125101.0,1477568.0,0.5898685113730959,0.41013148862690413
178,NEW JERSEY,2016,2148278.0,1601933.0,0.5728419014290129,0.4271580985709871
179,NEW JERSEY,2020,2608335.0,1883274.0,0.5807128358679484,0.4192871641320516
180,NEW MEXICO,2000,286783.0,286417.0,0.5003192602930914,0.49968073970690857
181,NEW MEXICO,2004,370942.0,376930.0,0.49599664113645114,0.5040033588635489
182,NEW MEXICO,2008,472422.0,346832.0,0.5766490001879759,0.4233509998120241
183,NEW MEXICO,2012,415335.0,335788.0,0.5529520464690869,0.44704795353091303
184,NEW MEXICO,2016,385234.0,319667.0,0.5465079493432411,0.4534920506567589
185,NEW MEXICO,2020,501614.0,401894.0,0.5551849015171975,0.4448150984828026
186,NEW YORK,2000,4107697.0,2403374.0,0.630878852342418,0.36912114765758197
187,NEW YORK,2004,4180755.0,2806993.0,0.5982979065644611,0.40170209343553887
188,NEW YORK,2008,4769700.0,2742298.0,0.6349442585048611,0.36505574149513886
189,NEW YORK,2012,4324228.0,2223397.0,0.6604269487027739,0.3395730512972261
190,NEW YORK,2016,4547562.0,2814589.0,0.617694747092256,0.3823052529077439
191,NEW YORK,2020,5230985.0,3244798.0,0.6171683489301224,0.38283165106987754
192,NORTH CAROLINA,2000,1257692.0,1631163.0,0.4353600301849695,0.5646399698150305
193,NORTH CAROLINA,2004,1525849.0,1961166.0,0.4375802799815888,0.5624197200184111
194,NORTH CAROLINA,2008,2142651.0,2128474.0,0.5016596330006732,0.4983403669993269
195,NORTH CAROLINA,2012,2178391.0,2270395.0,0.48965965096995,0.51034034903005
196,NORTH CAROLINA,2016,2189316.0,2362631.0,0.48096254196281285,0.5190374580371871
197,NORTH CAROLINA,2020,10737168.0,11035092.0,0.4931581746681328,0.5068418253318673
198,NORTH DAKOTA,2000,95284.0,174852.0,0.3527260342938372,0.6472739657061628
199,NORTH DAKOTA,2004,111052.0,196651.0,0.36090645850056713,0.6390935414994329
200,NORTH DAKOTA,2008,141278.0,168601.0,0.4559134371803188,0.5440865628196813
201,NORTH DAKOTA,2012,124966.0,188320.0,0.39888791711088273,0.6011120828891173
202,NORTH DAKOTA,2016,93758.0,216794.0,0.30190757103480254,0.6980924289651974
203,NORTH DAKOTA,2020,114902.0,235595.0,0.3278259157710337,0.6721740842289663
204,OHIO,2000,2186190.0,2351209.0,0.4818156833904182,0.5181843166095819
205,OHIO,2004,2739952.0,2858727.0,0.489392587072772,0.510607412927228
206,OHIO,2008,2933388.0,2674491.0,0.5230833261559317,0.47691667384406833
207,OHIO,2012,2827621.0,2661407.0,0.5151405676924949,0.48485943230750506
208,OHIO,2016,2394164.0,2841005.0,0.45732315422864095,0.5426768457713591
209,OHIO,2020,2679165.0,3154834.0,0.45923302352297285,0.5407669764770272
210,OKLAHOMA,2000,474276.0,744337.0,0.38919328777881085,0.6108067122211892
211,OKLAHOMA,2004,503966.0,959792.0,0.3442959833524394,0.6557040166475606
212,OKLAHOMA,2008,502496.0,960165.0,0.343549188773065,0.656450811226935
213,OKLAHOMA,2012,443547.0,891325.0,0.3322768025698344,0.6677231974301656
214,OKLAHOMA,2016,420375.0,949136.0,0.30695262761671865,0.6930473723832813
215,OKLAHOMA,2020,1511670.0,3060840.0,0.3305996050309349,0.6694003949690651
216,OREGON,2000,720342.0,713577.0,0.5023589198553057,0.4976410801446944
217,OREGON,2004,943163.0,866831.0,0.5210862577445008,0.4789137422554992
218,OREGON,2008,1037291.0,738475.0,0.5841372117722718,0.4158627882277282
219,OREGON,2012,970488.0,754175.0,0.5627116717874738,0.43728832821252617
220,OREGON,2016,1002106.0,782403.0,0.5615583894505436,0.43844161054945646
221,OREGON,2020,1340383.0,958448.0,0.5830715698544173,0.4169284301455827
222,PENNSYLVANIA,2000,2485967.0,2281127.0,0.5214847871680315,0.4785152128319685
223,PENNSYLVANIA,2004,2938095.0,2793847.0,0.5125828209706239,0.4874171790293761
224,PENNSYLVANIA,2008,3266523.0,2649934.0,0.552107959205991,0.44789204079400896
225,PENNSYLVANIA,2012,2990274.0,2680434.0,0.5273193400189182,0.4726806599810817
226,PENNSYLVANIA,2016,2926441.0,2970733.0,0.4962446419250984,0.5037553580749017
227,PENNSYLVANIA,2020,3458229.0,3377674.0,0.5058920525934906,0.49410794740650943
228,RHODE ISLAND,2000,249508.0,130555.0,0.6564911606759932,0.34350883932400683
229,RHODE ISLAND,2004,259760.0,169046.0,0.6057751057587814,0.39422489424121865
230,RHODE ISLAND,2008,296571.0,165391.0,0.6419813750914577,0.35801862490854225
231,RHODE ISLAND,2012,279409.0,157151.0,0.6400242807403335,0.3599757192596665
232,RHODE ISLAND,2016,251888.0,180490.0,0.5825643302850746,0.41743566971492535
233,RHODE ISLAND,2020,306210.0,199837.0,0.605101897649823,0.39489810235017697
234,SOUTH CAROLINA,2000,566039.0,786426.0,0.4185239544091714,0.5814760455908285
235,SOUTH CAROLINA,2004,661699.0,937974.0,0.4136464139858584,0.5863535860141417
236,SOUTH CAROLINA,2008,862449.0,1034896.0,0.4545557081079087,0.5454442918920913
237,SOUTH CAROLINA,2012,865941.0,1071645.0,0.44691745295434626,0.5530825470456537
238,SOUTH CAROLINA,2016,855373.0,1155389.0,0.4253974363947598,0.5746025636052402
239,SOUTH CAROLINA,2020,6549246.0,8310618.0,0.44073391250417904,0.559266087495821
240,SOUTH DAKOTA,2000,118804.0,190700.0,0.38385287427626136,0.6161471257237386
241,SOUTH DAKOTA,2004,149244.0,232584.0,0.39086709198906316,0.6091329080109369
242,SOUTH DAKOTA,2008,170924.0,203054.0,0.45704292765884624,0.5429570723411538
243,SOUTH DAKOTA,2012,145039.0,210610.0,0.4078150086180476,0.5921849913819525
244,SOUTH DAKOTA,2016,117458.0,227721.0,0.3402814192056875,0.6597185807943126
245,SOUTH DAKOTA,2020,150471.0,261043.0,0.365652201383185,0.634347798616815
246,TENNESSEE,2000,981720.0,1061949.0,0.48037133214820993,0.5196286678517901
247,TENNESSEE,2004,1032910.0,1381225.0,0.4278592539356747,0.5721407460643253
248,TENNESSEE,2008,1087437.0,1479178.0,0.4236852819764554,0.5763147180235446
249,TENNESSEE,2012,960709.0,1462330.0,0.3964892847370595,0.6035107152629404
250,TENNESSEE,2016,870695.0,1522925.0,0.3637565695473801,0.6362434304526199
251,TENNESSEE,2020,1143711.0,1852475.0,0.38172229627933646,0.6182777037206635
252,TEXAS,2000,2433746.0,3799639.0,0.3904372985143706,0.6095627014856294
253,TEXAS,2004,2832704.0,4526917.0,0.38489808102890083,0.6151019189710992
254,TEXAS,2008,3528633.0,4479328.0,0.4406406324905928,0.5593593675094072
255,TEXAS,2012,3308124.0,4569843.0,0.41992102784893615,0.5800789721510639
256,TEXAS,2016,3877868.0,4685047.0,0.45286774422028014,0.5471322557797199
257,TEXAS,2020,5259126.0,5890347.0,0.4716927876322047,0.5283072123677953
258,UTAH,2000,203053.0,515096.0,0.2827449456867586,0.7172550543132414
259,UTAH,2004,241199.0,663742.0,0.2665356083987796,0.7334643916012205
260,UTAH,2008,327670.0,596030.0,0.35473638627259935,0.6452636137274007
261,UTAH,2012,251813.0,740600.0,0.2537381110485252,0.7462618889514748
262,UTAH,2016,310676.0,515231.0,0.3761634179150921,0.6238365820849079
263,UTAH,2020,1951222.0,3230382.0,0.37656717881181195,0.6234328211881881
264,VERMONT,2000,149022.0,119775.0,0.554403508967734,0.445596491032266
265,VERMONT,2004,184067.0,121180.0,0.6030100213925116,0.39698997860748836
266,VERMONT,2008,219262.0,98974.0,0.688991817393381,0.311008182606619
267,VERMONT,2012,199239.0,92698.0,0.6824725882639062,0.3175274117360937
268,VERMONT,2016,178573.0,95369.0,0.6518642632382037,0.34813573676179627
269,VERMONT,2020,242826.0,112708.0,0.6829895312403315,0.31701046875966854
270,VIRGINIA,2000,1216422.0,1436877.0,0.45845643480060105,0.541543565199399
271,VIRGINIA,2004,1454742.0,1716959.0,0.4586630328646994,0.5413369671353006
272,VIRGINIA,2008,1959532.0,1725005.0,0.5318258440612755,0.46817415593872447
273,VIRGINIA,2012,1971820.0,1822522.0,0.5196737668876448,0.48032623311235517
274,VIRGINIA,2016,1981473.0,1769443.0,0.528263762771547,0.471736237228453
275,VIRGINIA,2020,7240240.0,5886181.0,0.5515776158634559,0.44842238413654417
276,WASHINGTON,2000,1247652.0,1108864.0,0.5294477100940541,0.4705522899059459
277,WASHINGTON,2004,1510201.0,1304894.0,0.5364653768345296,0.46353462316547045
278,WASHINGTON,2008,1750848.0,1229216.0,0.5875202680210895,0.4124797319789105
279,WASHINGTON,2012,1755396.0,1290670.0,0.5762829827062185,0.42371701729378153
280,WASHINGTON,2016,1742718.0,1221747.0,0.5878693120006476,0.4121306879993523
281,WASHINGTON,2020,2369612.0,1584651.0,0.599255031847907,0.4007449681520931
282,WEST VIRGINIA,2000,295497.0,336475.0,0.46757925984062587,0.5324207401593741
283,WEST VIRGINIA,2004,326541.0,423550.0,0.43533517933157445,0.5646648206684256
284,WEST VIRGINIA,2008,303857.0,397466.0,0.4332625623286275,0.5667374376713725
285,WEST VIRGINIA,2012,238269.0,417655.0,0.36325702367957263,0.6367429763204273
286,WEST VIRGINIA,2016,188794.0,489371.0,0.27838947748704224,0.7216105225129578
287,WEST VIRGINIA,2020,235984.0,545382.0,0.3020146768607797,0.6979853231392202
288,WISCONSIN,2000,1242987.0,1237279.0,0.5011506830315781,0.49884931696842194
289,WISCONSIN,2004,1489504.0,1478120.0,0.5019180327426924,0.4980819672573075
290,WISCONSIN,2008,1677211.0,1262393.0,0.5705567824781841,0.42944321752181586
291,WISCONSIN,2012,1620985.0,1410966.0,0.5346342998287241,0.4653657001712759
292,WISCONSIN,2016,1381823.0,1404440.0,0.49594133791390116,0.5040586620860988
293,WISCONSIN,2020,1630673.0,1610065.0,0.5031795226889677,0.49682047731103224
294,WYOMING,2000,60481.0,147947.0,0.2901769435968296,0.7098230564031704
295,WYOMING,2004,70776.0,167629.0,0.29687296826828297,0.7031270317317171
296,WYOMING,2008,82868.0,164958.0,0.3343797664490409,0.6656202335509591
297,WYOMING,2012,69286.0,170962.0,0.2883936598847857,0.7116063401152143
298,WYOMING,2016,55973.0,174419.0,0.2429468037084621,0.7570531962915379
299,WYOMING,2020,73491.0,193559.0,0.27519565624414905,0.724804343755851
